sku,count,width,height,depth
14917,131,10.0,10.0,10.0
27289,131,9.0,25.0,9.0
454,131,41.0,30.0,59.0
1106,130,34.0,7.0,24.0
25307,130,34.0,4.0,44.0
25311,129,44.0,6.0,27.0
24897,128,47.0,20.0,56.0
11389,128,20.0,7.0,27.0
19223,128,13.0,10.0,57.0
26217,127,10.0,10.0,10.0
21369,126,38.0,38.0,17.0
10375,126,25.0,10.0,39.0
4771,126,36.0,24.0,31.0
23267,126,8.0,3.0,15.0
19291,126,21.0,11.0,20.0
18441,126,29.0,17.0,15.0
31600,126,10.0,10.0,15.0
8938,125,28.0,21.0,34.0
13008,125,7.0,23.0,20.0
3305,123,23.0,7.0,23.0
30123,123,10.0,10.0,10.0
11848,123,19.0,9.0,22.0
29639,123,20.0,3.0,21.0
24911,122,46.0,5.0,29.0
24412,121,45.0,51.0,69.0
28707,121,38.0,29.0,27.0
15822,121,16.0,3.0,13.0
13476,121,5.0,2.0,7.0
13389,120,12.0,6.0,37.0
23815,120,28.0,16.0,38.0
13092,120,7.0,17.0,9.0
14238,120,10.0,6.0,12.0
2024,120,23.0,6.0,28.0
25732,120,10.0,10.0,10.0
9015,120,30.0,43.0,21.0
908,120,17.0,32.0,17.0
13539,119,39.0,16.0,43.0
7767,119,11.0,4.0,18.0
25355,119,10.0,10.0,10.0
15038,119,32.0,5.0,31.0
18349,119,21.0,12.0,33.0
28603,119,40.0,30.0,28.0
6729,118,29.0,29.0,50.0
13248,118,9.0,34.0,10.0
7977,117,29.0,21.0,39.0
11626,116,34.0,9.0,38.0
25901,116,10.0,10.0,10.0
24321,116,15.0,50.0,15.0
14896,116,37.0,9.0,23.0
15217,116,12.0,17.0,2.0
1090,116,12.0,9.0,1.0
10736,116,56.0,68.0,10.0
9083,115,24.0,28.0,39.0
26875,115,69.0,64.0,29.0
10040,115,19.0,18.0,41.0
5559,115,32.0,13.0,13.0
9999,114,16.0,41.0,53.0
14148,114,20.0,27.0,30.0
16489,114,8.0,6.0,11.0
22476,114,35.0,9.0,6.0
384,113,31.0,23.0,53.0
28573,113,35.0,22.0,47.0
28398,112,18.0,5.0,21.0
26141,111,10.0,10.0,10.0
23542,110,19.0,8.0,20.0
19795,110,20.0,61.0,9.0
12050,109,20.0,5.0,23.0
28369,109,25.0,9.0,9.0
1546,109,31.0,22.0,52.0
18417,108,21.0,12.0,33.0
20802,108,13.0,5.0,19.0
2097,108,24.0,6.0,28.0
30125,107,68.0,68.0,68.0
26003,107,37.0,35.0,56.0
21420,107,14.0,1.0,8.0
7976,107,52.0,31.0,8.0
9874,107,10.0,10.0,10.0
6184,107,19.0,10.0,23.0
6918,106,38.0,22.0,26.0
8016,106,17.0,3.0,9.0
